SKU ID,VendorProduct_ID,UnitMeasurementBuy,LotSizeBuy,Current_Buy,UnitMeasurementSell,LotSizeSell,Current_Sell,Specs_JSON,Threshold,stock_qty
43,11,1,5,107,1,1,128.4,"{""spec1"": ""4x1-4x1.25-4x1.5-4x2-4x2.5"", ""spec2"": ""Apx.wt. 0.900""}",45,75
44,11,1,5,127,1,1,152.4,"{""spec1"": ""5x1-5x1.25-5x1.5-5x2-5x2.5"", ""spec2"": ""Apx.wt. 1.200""}",31,61
45,11,1,5,143,1,1,171.6,"{""spec1"": ""6x1-6x1.25-6x1.5-6x2-6x2.5-6x3"", ""spec2"": ""Apx.wt. 1.400""}",28,58
46,11,1,5,169,1,1,202.8,"{""spec1"": ""7x1-7x1.25-7x1.5-7x2-7x2.5-7x3"", ""spec2"": ""Apx.wt. 1.700""}",39,69
47,1,1,150,30,1,1,36,"{""spec1"" :  ""0.5\"" x 6\""""}",91,121
48,1,1,150,42,1,1,50.4,"{""spec1"" :  ""0.75\"" x 6\""""}",86,116
49,1,1,150,43,1,1,51.6,"{""spec1"" :  ""1\"" x 7\""""}",75,65
50,1,1,150,56,1,1,67.2,"{""spec1"" :  ""1.25\"" x 7\""""}",112,102
51,1,1,150,66,1,1,79.2,"{""spec1"" :  ""1.5\"" x 7\""""}",25,15
52,2,1,150,44,1,1,52.8,"{""spec1"" :  ""1\"" x 0.75\"" x 7\""""}",91,81
53,2,1,150,58,1,1,69.6,"{""spec1"" :  ""1.25\"" x 1\"" x 7\""""}",86,76
54,2,1,150,69,1,1,82.8,"{""spec1"" :  ""1.5\"" x 1.25\"" x 7\""""}",75,65
55,2,1,150,100,1,1,120,"{""spec1"" :  ""2\"" x 1.75\"" x 8\""""}",112,102
56,2,1,150,133,1,1,159.6,"{""spec1"" :  ""2\"" x 1.75\"" x 11\""""}",25,15
57,3,1,150,46,1,1,55.2,"{""spec1"" :  ""1\"" x 0.75\"" x 0.75\"" x 7\""""}",112,102
58,3,1,150,59,1,1,70.8,"{""spec1"" :  ""1.25\"" x 1\"" x 1\"" x 7\""""}",25,15
59,3,1,150,71,1,1,85.2,"{""spec1"" :  ""1.5\"" x 1.25\"" x 1.25\"" x 7\""""}",91,81
60,3,1,150,104,1,1,124.8,"{""spec1"" :  ""2\"" x 1.75\"" x 1.75\"" x 8\""""}",86,76
61,3,1,150,146,1,1,175.2,"{""spec1"" :  ""2.5\"" x 2.25\"" x 2.25\"" x 8\""""}",75,65
62,4,1,150,63,1,1,75.6,"{""spec1"" :  ""1.25\"" x 1\"" x 7\""""}",112,102
63,4,1,150,74,1,1,88.8,"{""spec1"" :  ""1.5\"" x 1.25\"" x 7\""""}",25,15
64,4,1,150,105,1,1,126,"{""spec1"" :  ""2\"" x 1.5\"" x 8\""""}",86,76
65,4,1,150,145,1,1,174,"{""spec1"" :  ""2.5\"" x 2\"" x 8\""""}",75,65
66,4,1,150,216,1,1,259.2,"{""spec1"" :  ""3\"" x 2.5\"" x 8\""""}",112,102
67,5,1,150,23,1,1,27.6,"{""spec1"" :  ""0.5\"" x 6\""""}",25,15
68,5,1,150,26,1,1,31.2,"{""spec1"" :  ""0.75\"" x 6\""""}",75,65
69,5,1,150,37,1,1,44.4,"{""spec1"" :  ""1\"" x 7\""""}",112,102
70,5,1,150,42,1,1,50.4,"{""spec1"" :  ""1.25\"" x 7\""""}",25,15
71,5,1,150,48,1,1,57.6,"{""spec1"" :  ""1.5\"" x 7\""""}",86,76
72,6,1,150,38,1,1,45.6,"{""spec1"" :  ""1\"" x 0.75\"" x 7\""""}",75,65
73,6,1,150,42,1,1,50.4,"{""spec1"" :  ""1.25\"" x 1\"" x 7\""""}",112,102
74,6,1,150,51,1,1,61.2,"{""spec1"" :  ""1.5\"" x 1.25\"" x 7\""""}",25,15
75,6,1,150,81,1,1,97.2,"{""spec1"" :  ""2\"" x 1.75\"" x 8\""""}",75,65
76,6,1,150,109,1,1,130.8,"{""spec1"" :  ""2\"" x 1.75\"" x 11\""""}",112,102
77,17,1,1,1026,1,1,1231.2,"{ ""spec1"" : ""SGIN DISC"" , ""spec2"" : ""50MM"" ,""spec3"":""CAST IRON"",""spec4"":""LEVER OPERATED""}",112,102
78,17,1,1,1165,1,1,1398,"{ ""spec1"" : ""SGIN DISC"" , ""spec2"" : ""65MM"" , ""spec3"":""CAST IRON"",""spec4"":""LEVER OPERATED"" }",25,15
79,17,1,1,1294,1,1,1552.8,"{ ""spec1"" : ""SGIN DISC"" , ""spec2"" : ""80MM"" , ""spec3"":""CAST IRON"",""spec4"":""LEVER OPERATED""}",75,65
80,17,1,1,1127,1,1,1352.4,"{ ""spec1"" : ""S.S. 304 DISC"" , ""spec2"" : ""50MM"" , ""spec3"":""CAST IRON"",""spec4"":""LEVER OPERATED""}",25,15
81,17,1,1,1286,1,1,1543.2,"{ ""spec1"" : ""S.S. 304 DISC"" , ""spec2"" : ""65MM"" , ""spec3"":""CAST IRON"",""spec4"":""LEVER OPERATED""}",86,76
82,17,1,1,1566,1,1,1879.2,"{ ""spec1"" : ""S.S. 304 DISC"" , ""spec2"" : ""80MM"" , ""spec3"":""CAST IRON"",""spec4"":""LEVER OPERATED""}",75,65
83,17,1,1,1159,1,1,1390.8,"{ ""spec1"" : ""S.S. 316 DISC"" , ""spec2"" : ""50MM"", ""spec3"":""CAST IRON"",""spec4"":""LEVER OPERATED""}",25,15
84,17,1,1,1321,1,1,1585.2,"{ ""spec1"" : ""S.S. 316 DISC"" , ""spec2"" : ""65MM"" , ""spec3"":""CAST IRON"",""spec4"":""LEVER OPERATED""}",112,102
85,17,1,1,1614,1,1,1936.8,"{ ""spec1"" : ""S.S. 316 DISC"" , ""spec2"" : ""80MM"",""spec3"":""CAST IRON"",""spec4"":""LEVER OPERATED""}",25,15
86,17,1,1,4055,1,1,4866,"{ ""spec1"" : ""SGIN DISC"" , ""spec2"" : ""100MM"" , ""spec3"":""CAST IRON"",""spec4"":""GEAR OPERATED""}",112,102
87,17,1,1,4223,1,1,5067.6,"{ ""spec1"" : ""SGIN DISC"" , ""spec2"" : ""125MM"" , ""spec3"":""CAST IRON"",""spec4"":""GEAR OPERATED""}",25,15
88,17,1,1,4876,1,1,5851.2,"{ ""spec1"" : ""SGIN DISC"" , ""spec2"" : ""150MM"" , ""spec3"":""CAST IRON"",""spec4"":""GEAR OPERATED""}",75,65
89,17,1,1,4476,1,1,5371.2,"{ ""spec1"" : ""S.S. 304 DISC"" , ""spec2"" : ""100MM"" , ""spec3"":""CAST IRON"",""spec4"":""GEAR OPERATED""}",25,15
90,17,1,1,4858,1,1,5829.6,"{ ""spec1"" : ""S.S. 304 DISC"" , ""spec2"" : ""125MM"" , ""spec3"":""CAST IRON"",""spec4"":""GEAR OPERATED""}",86,76
91,17,1,1,5835,1,1,7002,"{ ""spec1"" : ""S.S. 304 DISC"" , ""spec2"" : ""150MM"" , ""spec3"":""CAST IRON"",""spec4"":""GEAR OPERATED""}",75,65
92,17,1,1,4596,1,1,5515.2,"{ ""spec1"" : ""S.S. 316 DISC"" , ""spec2"" : ""100MM"" , ""spec3"":""CAST IRON"",""spec4"":""GEAR OPERATED""}",25,15
93,17,1,1,5038,1,1,6045.6,"{ ""spec1"" : ""S.S. 316 DISC"" , ""spec2"" : ""125MM"" , ""spec3"":""CAST IRON"",""spec4"":""GEAR OPERATED""}",112,102
94,17,1,1,6111,1,1,7333.2,"{ ""spec1"" : ""S.S. 316 DISC"" , ""spec2"" : ""150MM"" , ""spec3"":""CAST IRON"",""spec4"":""GEAR OPERATED""}",25,15
95,17,1,1,1462,1,1,1754.4,"{ ""spec1"" : ""C.S. DISC"" , ""spec2"" : ""50MM"" , ""spec3"":""CAST STEEL"",""spec4"":""LEVER OPERATED""}",25,15
96,17,1,1,1804,1,1,2164.8,"{ ""spec1"" : ""C.S. DISC"" , ""spec2"" : ""65MM"" ,  ""spec3"":""CAST STEEL"",""spec4"":""LEVER OPERATED""}",86,76
97,17,1,1,2242,1,1,2690.4,"{ ""spec1"" : ""C.S. DISC"" , ""spec2"" : ""80MM"" ,  ""spec3"":""CAST STEEL"",""spec4"":""LEVER OPERATED""}",75,65
98,17,1,1,1510,1,1,1812,"{ ""spec1"" : ""S.S. 304 DISC"" , ""spec2"" : ""50MM"" , ""spec3"":""CAST STEEL"",""spec4"":""LEVER OPERATED""}",25,15
99,17,1,1,1877,1,1,2252.4,"{ ""spec1"" : ""S.S. 304 DISC"" , ""spec2"" : ""65MM"" , ""spec3"":""CAST STEEL"",""spec4"":""LEVER OPERATED""}",112,102
100,17,1,1,2349,1,1,2818.8,"{ ""spec1"" : ""S.S. 304 DISC"" , ""spec2"" : ""80MM"" , ""spec3"":""CAST STEEL"",""spec4"":""LEVER OPERATED""}",25,15
101,17,1,1,1546,1,1,1855.2,"{ ""spec1"" : ""S.S. 316 DISC"" , ""spec2"" : ""50MM"" , ""spec3"":""CAST STEEL"",""spec4"":""LEVER OPERATED""} ",112,102
102,17,1,1,1935,1,1,2322,"{ ""spec1"" : ""S.S. 316 DISC"" , ""spec2"" : ""65MM"",  ""spec3"":""CAST STEEL"",""spec4"":""LEVER OPERATED""}",25,15
103,17,1,1,2419,1,1,2902.8,"{ ""spec1"" : ""S.S. 316 DISC"" , ""spec2"" : ""80MM"" ,  ""spec3"":""CAST STEEL"",""spec4"":""LEVER OPERATED""}",75,65
104,17,1,1,5126,1,1,6151.2,"{ ""spec1"" : ""C.S. DISC"" , ""spec2"" : ""100MM"" ,  ""spec3"":""CAST STEEL"",""spec4"":""GEAR OPERATED""}",112,102
105,17,1,1,6278,1,1,7533.6,"{ ""spec1"" : ""C.S. DISC"" , ""spec2"" : ""125MM"" ,  ""spec3"":""CAST STEEL"",""spec4"":""GEAR OPERATED""}",25,15
106,17,1,1,7858,1,1,9429.6,"{ ""spec1"" : ""C.S. DISC"" , ""spec2"" : ""150MM"" ,  ""spec3"":""CAST STEEL"",""spec4"":""GEAR OPERATED""}",75,65
107,17,1,1,5375,1,1,6450,"{ ""spec1"" : ""S.S. 304 DISC"" , ""spec2"" : ""100MM"" ,  ""spec3"":""CAST STEEL"",""spec4"":""GEAR OPERATED""} ",25,15
108,17,1,1,6648,1,1,7977.6,"{ ""spec1"" : ""S.S. 304 DISC"" , ""spec2"" : ""125MM"" ,  ""spec3"":""CAST STEEL"",""spec4"":""GEAR OPERATED""}",86,76
109,17,1,1,8295,1,1,9954,"{ ""spec1"" : ""S.S. 304 DISC"" , ""spec2"" : ""150MM"",  ""spec3"":""CAST STEEL"",""spec4"":""GEAR OPERATED""}",75,65
110,17,1,1,5505,1,1,6606,"{ ""spec1"" : ""S.S. 316 DISC"" , ""spec2"" : ""100MM"" ,  ""spec3"":""CAST STEEL"",""spec4"":""GEAR OPERATED""}",25,40
111,17,1,1,6914,1,1,8296.8,"{ ""spec1"" : ""S.S. 316 DISC"" , ""spec2"" : ""125MM"" ,  ""spec3"":""CAST STEEL"",""spec4"":""GEAR OPERATED""}",112,127
112,17,1,1,8760,1,1,10512,"{ ""spec1"" : ""S.S. 316 DISC"" , ""spec2"" : ""150MM"" ,  ""spec3"":""CAST STEEL"",""spec4"":""GEAR OPERATED""}",25,40
113,14,1,10,69,1,1,82.8,"{""spec1"": ""Pipe Female + Male Pioneer Type"",""spec2"" :  ""63mm""}",86,101
114,14,1,10,80,1,1,96,"{""spec1"" :  ""Pipe Female + Male Pioneer Type"",""spec2"" : ""75mm""}",75,90
115,14,1,10,100,1,1,120,"{""spec1"" :  ""Pipe Female + Male Pioneer Type"" , ""spec2"" : ""90mm""}",112,127
116,14,1,10,120,1,1,144,"{""spec1"" :  ""Pipe Female + Male Pioneer Type"" , ""spec2""  : ""110mm""}",25,40
117,14,1,10,62,1,1,74.4,"{""spec1"": ""Pipe Female + Female Pioneer Type"",""spec2"" :  ""63mm""}",91,106
118,14,1,10,74,1,1,88.8,"{""spec1"" :  ""Pipe Female + Female Pioneer Type"",""spec2"" : ""75mm""}",86,101
119,14,1,10,98,1,1,117.6,"{""spec1"" :  ""Pipe Female + Female Pioneer Type"" , ""spec2"" : ""90mm""}",75,90
120,14,1,10,117,1,1,140.4,"{""spec1"" :  ""Pipe Female + Female Pioneer Type"" , ""spec2""  : ""110mm""}",112,127
121,14,1,10,74,1,1,88.8,"{""spec1"": ""Pipe Male + Male Pioneer Type"",""spec2"" : ""63mm""}",25,40
122,14,1,10,86,1,1,103.2,"{""spec1"" :  ""Pipe Male + Male Pioneer Type"",""spec2"" : ""75mm""}",112,127
123,14,1,10,100,1,1,120,"{""spec1"" :  ""Pipe Male + Male Pioneer Type"" , ""spec2"" : ""90mm""}",25,40
124,14,1,10,123,1,1,147.6,"{""spec1"" :  ""Pipe Male + Male Pioneer Type"" , ""spec2""  : ""110mm""}",91,106
125,14,1,10,74,1,1,88.8,"{""spec1"": ""Pipe Female + Male C-Type"",""spec2"" :  ""63mm""}",86,101
126,14,1,10,85,1,1,102,"{""spec1"" :  ""Pipe Female + Male C-Type"",""spec2"" : ""75mm""}",75,90
127,14,1,10,115,1,1,138,"{""spec1"" :  ""Pipe Female + Male C-Type"" , ""spec2"" : ""90mm""}",112,127
128,14,1,10,157,1,1,188.4,"{""spec1"" :  ""Pipe Female + Male C-Type"" , ""spec2""  : ""110mm""}",25,40
129,14,1,10,102,1,1,122.4,"{""spec1"": ""Pipe Female + Female C-Type"",""spec2"" :  ""63mm""}",86,81
130,14,1,10,112,1,1,134.4,"{""spec1"" :  ""Pipe Female + Female C-Type"",""spec2"" : ""75mm""}",75,70
131,14,1,10,155,1,1,186,"{""spec1"" :  ""Pipe Female + Female C-Type"" , ""spec2"" : ""90mm""}",112,107
132,14,1,10,215,1,1,258,"{""spec1"" :  ""Pipe Female + Female C-Type"" , ""spec2""  : ""110mm""}",75,70
133,13,1,50,3.5,1,1,4.2,"{""spec1"":""Heavy"" , ""spec2"":""63mm"",""spec3"":""Single Collar""}",25,20
134,13,1,50,4.5,1,1,5.4,"{""spec1"":""Heavy"" , ""spec2"":""75mm"",""spec3"":""Single Collar""}",40,35
135,13,1,50,6.5,1,1,7.8,"{""spec1"":""Heavy"" , ""spec2"":""90mm"",""spec3"":""Single Collar""}",35,30
136,13,1,50,7.5,1,1,9,"{""spec1"":""Heavy"" , ""spec2"":""110mm"",""spec3"":""Single Collar""}",29,24
137,13,1,50,4,1,1,4.8,"{""spec1"":""Light"" , ""spec2"":""75mm"",""spec3"":""Single Collar""}",34,29
138,13,1,50,5.5,1,1,6.6,"{""spec1"":""Light"" , ""spec2"":""90mm"",""spec3"":""Single Collar""}",34,29
139,13,1,50,6.5,1,1,7.8,"{""spec1"":""Light"" , ""spec2"":""110mm"",""spec3"":""Single Collar""}",25,20
140,13,1,50,4,1,1,4.8,"{""spec1"":""63mm"",""spec2"":""Double Collar""}",40,35
141,13,1,50,5.25,1,1,6.3,"{""spec1"":""75mm"",""spec2"":""Double Collar""}",35,30
142,13,1,50,6.5,1,1,7.8,"{""spec1"":""90mm"",""spec2"":""Double Collar""}",29,24
143,13,1,50,8,1,1,9.6,"{""spec1"":""110mm"",""spec2"":""Double Collar""}",34,29
144,13,1,50,6,1,1,7.2,"{""spec1"":""Red Color"" , ""spec2"":""75mm"",""spec3"":""Double Collar""}",34,29
145,13,1,50,7,1,1,8.4,"{""spec1"":""Red Color"" , ""spec2"":""90mm"",""spec3"":""Double Collar""}",29,24
146,15,1,10,2,1,1,2.4,"{""spec1"":""Light"",""spec2"":""12mm"",""spec3"":""Lateral Cock""}",29,24
147,15,1,10,3,1,1,3.6,"{""spec1"":""Light"",""spec2"":""16mm"",""spec3"" : ""Lateral Cock""}",34,29
148,15,1,10,4.5,1,1,5.4,"{""spec1"":""Heavy"",""spec2"":""16mm"",""spec3"" : ""Lateral Cock""}",34,29
149,15,1,10,7,1,1,8.4,"{""spec1"":""Heavy"",""spec2"":""20mm"", ""spec3"" : ""Lateral Cock""}",25,20
150,16,1,10,6,1,1,7.2,"{""spec1"":""4kg"",""spec2"":""40mm""}",29,0
151,16,1,10,5.7,1,1,6.84,"{""spec1"":""3.7kg"",""spec2"":""40mm""}",34,0
152,16,1,10,5.4,1,1,6.48,"{""spec1"":""3.5kg"",""spec2"":""40mm""}",25,0
153,16,1,10,110,1,1,132,"{""spec1"":""75mm Adopter"",""spec2"":""Pioneer Type"",""spec3"":""32mm""}",40,0
154,16,1,10,110,1,1,132,"{""spec1"":""75mm Adopter"",""spec2"":""Pioneer Type"",""spec3"":""40mm""}",35,0
155,16,1,10,120,1,1,144,"{""spec1"":""75mm Adopter"",""spec2"":""C Type"",""spec3"":""32mm""}",29,0
156,16,1,10,120,1,1,144,"{""spec1"":""75mm Adopter"",""spec2"":""C Type"",""spec3"":""40mm""}",34,0
